vendor,title,subsub,extraction,drying,price,size,thc_min,thc_max,cbd_max,plant_type,terpenes,lp,province,availability,assortment,available,handle,url
(GAS),Golden Guava 510 Live Diamond Cartridge,Live Cartridges,Butane,Fresh Frozen,34.95,1g,93.000000,99.000000,1.000000,Sativa Dominant,Caryophyllene,Vortex Cannabis Inc,Quebec,in-store,Wholesale Only,False,golden-guava-510-live-diamond-cartridge-gas-golden-guava,https://ocs.ca/products/golden-guava-510-live-diamond-cartridge-gas-golden-guava
(GAS),Strawberry Lemonade 510 Live Diamond Cartridge,Live Cartridges,Butane,Fresh Frozen,34.95,1g,93.000000,99.000000,1.000000,Sativa Dominant,Caryophyllene,Vortex Cannabis Inc,Quebec,in-store,Wholesale Only,False,strawberry-lemonade-510-live-diamond-cartridge,https://ocs.ca/products/strawberry-lemonade-510-live-diamond-cartridge
(GAS),Watermelon 510 Diamond Cartridge,Live Cartridges,Hydrocarbon,Fresh Frozen,34.95,1g,93.000000,99.000000,1.000000,Indica Dominant,Caryophyllene,Vortex Cannabis Inc,Nunavut,in-store,Wholesale Only,False,watermelon-510-diamond-cartridge-gas,https://ocs.ca/products/watermelon-510-diamond-cartridge-gas
-ness,Sticky Grape 510 Thread Cartridge,Resin Cartridges,Butane,Fresh Frozen,33.00,1g,94.000000,98.000000,2.000000,Sativa Dominant,Caryophyllene,THE GREEN ORGANIC DUTCHMAN,Ontario,in-store,Wholesale Only,False,sticky-grape-510-thread-cartridge-ness-banana-og,https://ocs.ca/products/sticky-grape-510-thread-cartridge-ness-banana-og
1964,Apples & Bananas FSE Resin 510 Thread Cartridge,Resin Cartridges,,,44.95,1g,76.000000,82.000000,1.000000,Indica Dominant,Beta-Myrcene,,,online,Shared,True,apples-bananas-fse-resin-510-thread-cartridge-1964,https://ocs.ca/products/apples-bananas-fse-resin-510-thread-cartridge-1964
1964,Blue Dream FSE Resin 510 Thread Cartridge,Live Cartridges,Hydrocarbon,Hang Dry,44.95,1g,76.000000,82.000000,1.000000,Sativa Dominant,Caryophyllene,Rubicon Organics Inc,British Columbia,online,Shared,True,blue-dream-live-resin-510-thread-cartridge-1964-blueberry-haze,https://ocs.ca/products/blue-dream-live-resin-510-thread-cartridge-1964-blueberry-haze
1964,Comatose FSE Resin 510 Thread Cartridge,Live Cartridges,Hydrocarbon,Hang Dry,44.95,1g,75.000000,84.000000,1.000000,Indica Dominant,Caryophyllene,Rubicon Organics Inc,British Columbia,online,Shared,True,comatose-live-resin-510-thread-cartridge-1964-og-kush,https://ocs.ca/products/comatose-live-resin-510-thread-cartridge-1964-og-kush
1964,Lemon Diesel FSE Resin 510 Thread Cartridge,Resin Cartridges,Butane,Hang Dry,44.95,1g,74.500000,81.000000,1.000000,Sativa Dominant,Caryophyllene,Rubicon Organics Inc,Alberta,in-store,Wholesale Only,False,lemon-diesel-fse-resin-510-thread-cartridge-1964-lemon-jack-x-ny-diesel,https://ocs.ca/products/lemon-diesel-fse-resin-510-thread-cartridge-1964-lemon-jack-x-ny-diesel
1964,Stinky Pinky FSE Resin 510 Thread Cartridge,Resin Cartridges,Butane,Hang Dry,44.95,1g,76.000000,84.000000,1.000000,Indica Dominant,Beta-Myrcene,Rubicon Organics Inc,British Columbia,online,Shared,True,stinky-pinky-fse-resin-510-thread-cartridge-1964-pink-kush-pheno-tf-cut,https://ocs.ca/products/stinky-pinky-fse-resin-510-thread-cartridge-1964-pink-kush-pheno-tf-cut
3Saints,Frosted Lemons FSE Resin 510 Thread Cartridge,Resin Cartridges,Butane,Hang Dry,44.95,1g,78.000000,84.000000,0.200000,Sativa Dominant,Caryophyllene,Greentone Enterprises Inc.,Quebec,in-store,Wholesale Only,False,frosted-lemons-fse-resin-510-thread-cartridge-3saints-frosted-lemons-lemon-tree-x-sherbet,https://ocs.ca/products/frosted-lemons-fse-resin-510-thread-cartridge-3saints-frosted-lemons-lemon-tree-x-sherbet
